cell_id,lat,lon,crop_type,label,NDVI_mean,NDVI_std,NDVI_min,NDVI_max,EVI_mean,EVI_std,EVI_min,EVI_max,SAVI_mean,SAVI_std,SAVI_min,SAVI_max,GNDVI_mean,GNDVI_std,GNDVI_min,GNDVI_max,CIgreen_mean,CIgreen_std,CIgreen_min,CIgreen_max,MCARI_mean,MCARI_std,MCARI_min,MCARI_max,NDWI_mean,NDWI_std,NDWI_min,NDWI_max,MSI_mean,MSI_std,MSI_min,MSI_max,ARI_mean,ARI_std,ARI_min,ARI_max,SIPI_mean,SIPI_std,SIPI_min,SIPI_max,NDBI_mean,NDBI_std,NDBI_min,NDBI_max,temperature,humidity,pressure,windSpeed,precipitation
cell_1_1,30.9,75.8,0,0,0.0830935686826706,0.07406002283096313,-0.36716264486312866,0.472553014755249,216897.203125,23419352.0,-82500000.0,3390000128.0,0.12462928891181946,0.11107658594846725,-0.5507202744483948,0.7087780237197876,0.04227891564369202,0.0635540559887886,-0.5256723761558533,0.6469822525978088,0.09796455502510071,0.14691320061683655,-0.6891025304794312,3.6654372215270996,800.5682983398438,425.5531311035156,-1412.535888671875,8556.796875,-0.04227891564369202,0.0635540559887886,-0.6469822525978088,0.5256723761558533,1.2587946653366089,0.4308913052082062,0.27216261625289917,4.042171955108643,-2.7182164558325894e-05,3.904255936504342e-05,-0.0003700536908581853,0.0003467590140644461,-124808.5859375,16532713.0,-3576000000.0,973000000.0,0.08664443343877792,0.1485769897699356,-0.572126030921936,0.603345513343811,28,60,1005,2,0
cell_1_10,30.9,75.8,0,0,0.018304400146007538,0.014394871890544891,-0.09715279191732407,0.21173469722270966,-2934.753662109375,788640.125,-315000000.0,824.9992065429688,0.027453847229480743,0.02159007638692856,-0.14571335911750793,0.31757670640945435,0.054254744201898575,0.032219331711530685,-0.14579477906227112,0.36739835143089294,0.11709893494844437,0.06946039199829102,-0.25448673963546753,1.1615471839904785,42.92438507080078,45.582340240478516,-462.2333068847656,1413.62451171875,-0.054254744201898575,0.032219331711530685,-0.36739835143089294,0.14579477906227112,0.7962236404418945,0.053488560020923615,0.43292683362960815,1.3137651681900024,3.1321189453592524e-05,1.673069164098706e-05,-9.068998042494059e-05,0.00019861693726852536,569231.4375,13871926.0,-186000000.0,894000000.0,-0.1144164651632309,0.03256549686193466,-0.3957446813583374,0.13560804724693298,28,60,1005,2,0
cell_1_100,30.9,75.8,0,0,0.10253282636404037,0.07046782970428467,-0.5420682430267334,0.8200901746749878,139969.0,16206793.0,-450000000.0,2904999936.0,0.15377932786941528,0.10568705946207047,-0.8130494356155396,1.23009192943573,0.04216110706329346,0.058061033487319946,-0.5115309953689575,0.8227108716964722,0.09575007110834122,0.1285407841205597,-0.6768382787704468,9.281005859375,582.3773193359375,393.1487731933594,-4506.4384765625,94607.140625,-0.04216110706329346,0.058061033487319946,-0.8227108716964722,0.5115309953689575,1.5247437953948975,0.4616774022579193,0.27416905760765076,4.081344127655029,-6.37611374258995e-05,4.8116995458258316e-05,-0.0006112403934821486,0.00043412274681031704,-302043.03125,23980870.0,-4432000000.0,1032000000.0,0.18136756122112274,0.1473020315170288,-0.569650411605835,0.6064033508300781,28,60,1005,2,0
cell_1_101,30.9,75.8,0,0,0.08968444168567657,0.06315597891807556,-0.2526128888130188,0.39035654067993164,74595.921875,11967108.0,-362500000.0,3977499904.0,0.1345096379518509,0.09472084790468216,-0.3789006471633911,0.5854807496070862,0.030951138585805893,0.05337565764784813,-0.4870392084121704,0.45995044708251953,0.07015068829059601,0.11440886557102203,-0.6550455093383789,1.7033638954162598,522.5472412109375,310.66558837890625,-1223.566650390625,4370.2900390625,-0.030951138585805893,0.05337565764784813,-0.45995044708251953,0.4870392084121704,1.4822540283203125,0.45033785700798035,0.4247737526893616,3.4332735538482666,-5.877602961845696e-05,4.507218181970529e-05,-0.00031756635871715844,0.00018072384409606457,-251452.78125,21570714.0,-4496000000.0,1940000000.0,0.16852982342243195,0.1442202776670456,-0.40373164415359497,0.5488660931587219,28,60,1005,2,0
cell_1_102,30.9,75.8,0,0,0.09857337176799774,0.0645405650138855,-0.4254859685897827,0.5662534236907959,154361.4375,16525553.0,-167500000.0,2884999936.0,0.14784203469753265,0.09679792076349258,-0.6381906270980835,0.8493459820747375,0.04519170522689819,0.0549299493432045,-0.45824846625328064,0.5429238677024841,0.10156098008155823,0.12056322395801544,-0.6284916400909424,2.375638723373413,552.0844116210938,335.0539245605469,-2227.486572265625,20667.84765625,-0.04519170522689819,0.0549299493432045,-0.5429238677024841,0.45824846625328064,1.4369957447052002,0.40727126598358154,0.4210986793041229,3.2907514572143555,-5.4450130846817046e-05,4.4170152250444517e-05,-0.0003483861801214516,0.00035628030309453607,-149675.1875,15169238.0,-2744000000.0,1598000000.0,0.15724505484104156,0.13412049412727356,-0.40736180543899536,0.5338811874389648,28,60,1005,2,0
cell_1_103,30.9,75.8,0,0,0.021266985684633255,0.0499582439661026,-0.09457319974899292,0.9610950946807861,33306.74609375,7661795.5,-3910.0078125,2460000000.0,0.03189670294523239,0.07492734491825104,-0.1418495774269104,1.4415560960769653,0.007889393717050552,0.021885935217142105,-0.13286447525024414,0.2277827262878418,-0.7717706561088562,0.4422949254512787,-1.0,0.58994460105896,146.24920654296875,2027.19921875,-495.2926940917969,399112.0,-0.007889393717050552,0.021885935217142105,-0.2277827262878418,0.13286447525024414,0.34619173407554626,0.6952340006828308,0.0,2.9188156127929688,-1.63691056513926e-05,0.0001435922022210434,-0.008149811998009682,8.477558731101453e-05,-2447.207763671875,1358216.75,-872000000.0,420000000.0,0.04711000248789787,0.10723147541284561,-0.20740577578544617,0.4896417260169983,28,60,1005,2,0
cell_1_104,30.9,75.8,0,0,0.09075649082660675,0.04181285575032234,-0.12040633708238602,0.3431645929813385,36084.21875,7142434.0,-3030.006103515625,2207500032.0,0.13611958920955658,0.06271053105592728,-0.1805960237979889,0.5146956443786621,0.03246443718671799,0.03232631832361221,-0.14762690663337708,0.2731473743915558,0.06941813230514526,0.06924562156200409,-0.2572733163833618,0.7515894174575806,513.6942138671875,188.43202209472656,-625.9138793945312,2979.832275390625,-0.03246443718671799,0.03232631832361221,-0.2731473743915558,0.14762690663337708,1.559543251991272,0.36613360047340393,0.7512315511703491,2.7728195190429688,-5.5448803323088214e-05,3.442814704612829e-05,-0.00015787332085892558,0.00012493724352680147,-16092.3173828125,3287027.25,-882000000.0,650000000.0,0.2022124081850052,0.11583782732486725,-0.14205344021320343,0.4698924720287323,28,60,1005,2,0
cell_1_105,30.9,75.8,0,0,0.10308612138032913,0.03255362808704376,-0.17421603202819824,0.26691266894340515,36648.4296875,7103381.5,-232500000.0,2090000000.0,0.15461155772209167,0.04882340133190155,-0.2613050639629364,0.40032798051834106,0.04077160358428955,0.023845816031098366,-0.16205067932605743,0.21869903802871704,0.08630391210317612,0.05213756114244461,-0.27890467643737793,0.5598330497741699,541.9454956054688,149.86610412597656,-689.1988525390625,2594.519287109375,-0.04077160358428955,0.023845816031098366,-0.21869903802871704,0.16205067932605743,1.640163779258728,0.3156870901584625,0.7006197571754456,2.6640548706054688,-6.139531615190208e-05,3.097626904491335e-05,-0.000139235780807212,0.00010477242176420987,-2344.015380859375,1523108.75,-812000000.0,352000000.0,0.2310222089290619,0.09663289040327072,-0.17604182660579681,0.45415663719177246,28,60,1005,2,0
cell_1_106,30.9,75.8,0,0,0.08229335397481918,0.03379758819937706,-0.17361189424991608,0.25304919481277466,12075.291015625,4080927.25,-2362.50244140625,2667500032.0,0.12342724949121475,0.05068964511156082,-0.2604030668735504,0.3795471787452698,0.02390904165804386,0.02469688281416893,-0.34366926550865173,0.25811436772346497,0.05028941482305527,0.05145437642931938,-0.5115385055541992,0.6958333253860474,489.0404052734375,162.39102172851562,-996.3250732421875,3297.33056640625,-0.02390904165804386,0.02469688281416893,-0.25811436772346497,0.34366926550865173,1.5493136644363403,0.33339449763298035,0.5061671733856201,2.5393664836883545,-5.106211028760299e-05,2.929777474491857e-05,-0.00014955297228880227,5.850719753652811e-05,-29727.33984375,4408753.0,-1532000000.0,206000000.0,0.20136421918869019,0.10894251614809036,-0.3278738260269165,0.4349271357059479,28,60,1005,2,0
cell_1_107,30.9,75.8,0,0,0.0902167335152626,0.03148137032985687,-0.10258199274539948,0.22609606385231018,15554.8154296875,4172431.5,-1515.0015869140625,1355000064.0,0.13531054556369781,0.04721539095044136,-0.1538640558719635,0.33911871910095215,0.026378097012639046,0.022920142859220505,-0.16403034329414368,0.1900445520877838,0.055327434092760086,0.04854970797896385,-0.2818317413330078,0.4692716598510742,512.6587524414062,137.9425048828125,-482.3639221191406,2035.8570556640625,-0.026378097012639046,0.022920142859220505,-0.1900445520877838,0.16403034329414368,1.6557775735855103,0.30219462513923645,0.8926970958709717,2.7241547107696533,-5.7781671785051e-05,2.9139800972188823e-05,-0.0001271319924853742,9.372405475005507e-05,-9333.857421875,2703869.75,-912000000.0,922000000.0,0.23668411374092102,0.09072386473417282,-0.05669313296675682,0.4629653990268707,28,60,1005,2,0
